Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
13-Mar,"14,578.54","14,054.49","14,585.10","13,937.60",2.55B,3.73%,0.0373,,3.73
13-Feb,"14,054.49","13,860.58","14,149.15","13,784.01",2.49B,1.40%,0.014,,1.4
13-Jan,"13,860.58","13,104.30","13,969.99","13,104.30",2.79B,5.77%,0.0577,,5.77
12-Dec,"13,104.14","13,027.73","13,365.86","12,883.89",2.67B,0.60%,0.006,,0.6
12-Nov,"13,025.58","13,099.19","13,290.75","12,471.49",2.68B,-0.54%,-0.0054,,-0.54
12-Oct,"13,096.46","13,437.66","13,661.87","13,039.86",2.47B,-2.54%,-0.0254,,-2.54
12-Sep,"13,437.13","13,092.15","13,653.24","12,977.09",2.70B,2.65%,0.0265,,2.65
12-Aug,"13,090.84","13,007.47","13,330.76","12,778.90",2.27B,0.63%,0.0063,,0.63
12-Jul,"13,008.68","12,879.71","13,128.64","12,492.25",2.58B,1.00%,0.01,,1
12-Jun,"12,880.09","12,391.56","12,898.94","12,035.09",2.92B,3.93%,0.0393,,3.93
12-May,"12,393.45","13,214.16","13,338.66","12,311.56",3.05B,-6.21%,-0.0621,,-6.21
12-Apr,"13,213.63","13,211.36","13,297.11","12,710.56",2.57B,0.01%,0.0001,,0.01
12-Mar,"13,212.04","12,952.29","13,289.08","12,734.86",3.20B,2.01%,0.0201,,2.01
12-Feb,"12,952.07","12,632.76","13,055.75","12,632.76",2.71B,2.53%,0.0253,,2.53
12-Jan,"12,632.91","12,221.19","12,841.95","12,221.19",2.98B,3.40%,0.034,,3.4
11-Dec,"12,217.56","12,046.21","12,328.47","11,735.19",3.15B,1.43%,0.0143,,1.43
11-Nov,"12,045.68","11,951.53","12,187.51","11,231.56",3.40B,0.76%,0.0076,,0.76
11-Oct,"11,955.01","10,912.10","12,284.31","10,404.49",3.91B,9.54%,0.0954,,9.54
11-Sep,"10,913.38","11,613.30","11,716.84","10,597.14",4.40B,-6.03%,-0.0603,,-6.03
11-Aug,"11,613.53","12,144.22","12,282.42","10,604.07",6.20B,-4.36%,-0.0436,,-4.36
11-Jul,"12,143.24","12,412.07","12,753.89","12,083.45",3.09B,-2.18%,-0.0218,,-2.18
11-Jun,"12,414.34","12,569.41","12,569.49","11,862.53",3.88B,-1.24%,-0.0124,,-1.24
11-May,"12,569.79","12,810.16","12,876.00","12,309.52",3.58B,-1.88%,-0.0188,,-1.88
11-Apr,"12,810.54","12,321.02","12,832.83","12,093.89",3.32B,3.98%,0.0398,,3.98
11-Mar,"12,319.73","12,226.49","12,383.46","11,555.48",3.85B,0.76%,0.0076,,0.76
11-Feb,"12,226.34","11,892.50","12,391.29","11,892.50",3.22B,2.81%,0.0281,,2.81
11-Jan,"11,891.93","11,577.43","12,020.52","11,573.87",3.68B,2.72%,0.0272,,2.72
10-Dec,"11,577.51","11,007.23","11,625.00","11,007.23",3.25B,5.19%,0.0519,,5.19
10-Nov,"11,006.02","11,120.30","11,451.53","10,929.28",3.81B,-1.01%,-0.0101,,-1.01
10-Oct,"11,118.49","10,789.72","11,247.60","10,711.12",3.79B,3.06%,0.0306,,3.06
10-Sep,"10,788.05","10,016.01","10,948.88","10,016.01",3.76B,7.72%,0.0772,,7.72
10-Aug,"10,014.72","10,468.82","10,719.94","9,936.62",4.12B,-4.31%,-0.0431,,-4.31
10-Jul,"10,465.94","9,773.27","10,584.99","9,614.32",4.20B,7.08%,0.0708,,7.08
10-Jun,"9,774.02","10,133.94","10,594.16","9,753.84",4.94B,-3.58%,-0.0358,,-3.58
10-May,"10,136.63","11,009.60","11,177.67","9,774.48",5.61B,-7.92%,-0.0792,,-7.92
10-Apr,"11,008.61","10,857.31","11,258.01","10,844.09",4.24B,1.40%,0.014,,1.4
10-Mar,"10,856.63","10,326.10","10,955.48","10,326.10",4.39B,5.15%,0.0515,,5.15
10-Feb,"10,325.26","10,068.99","10,438.55","9,835.09",4.28B,2.56%,0.0256,,2.56
10-Jan,"10,067.33","10,430.69","10,729.89","10,043.75",4.39B,-3.46%,-0.0346,,-3.46
9-Dec,"10,428.05","10,343.82","10,580.33","10,235.63",4.17B,0.80%,0.008,,0.8
9-Nov,"10,344.84","9,712.13","10,495.61","9,678.95",3.81B,6.51%,0.0651,,6.51
9-Oct,"9,712.73","9,711.60","10,119.47","9,430.08",5.15B,0.00%,0,,0
9-Sep,"9,712.28","9,492.32","9,917.99","9,252.93",4.48B,2.27%,0.0227,,2.27
9-Aug,"9,496.28","9,173.65","9,630.20","9,116.52",4.04B,3.54%,0.0354,,3.54
9-Jul,"9,171.61","8,447.53","9,246.43","8,087.19",4.90B,8.58%,0.0858,,8.58
9-Jun,"8,447.00","8,501.53","8,877.93","8,259.43",5.52B,-0.63%,-0.0063,,-0.63
9-May,"8,500.33","8,167.41","8,591.93","8,099.31",6.73B,4.07%,0.0407,,4.07
9-Apr,"8,168.12","7,606.13","8,307.51","7,483.87",7.80B,7.35%,0.0735,,7.35
9-Mar,"7,608.92","7,056.48","7,931.33","6,469.95",10.56B,7.73%,0.0773,,7.73
9-Feb,"7,062.93","8,000.62","8,315.07","7,033.62",7.13B,-11.72%,-0.1172,,-11.72
9-Jan,"8,000.86","8,772.25","9,088.06","7,909.03",6.26B,-8.84%,-0.0884,,-8.84
8-Dec,"8,776.39","8,826.89","9,026.41","8,118.50",5.70B,-0.60%,-0.006,,-0.6
8-Nov,"8,829.04","9,326.04","9,653.95","7,449.38",6.26B,-5.32%,-0.0532,,-5.32
8-Oct,"9,325.01","10,847.40","10,882.52","7,882.51",8.31B,-14.06%,-0.1406,,-14.06
8-Sep,"10,850.66","11,545.63","11,790.17","10,365.45",6.30B,-6.00%,-0.06,,-6
8-Aug,"11,543.55","11,379.89","11,867.11","11,221.53",3.58B,1.45%,0.0145,,1.45
8-Jul,"11,378.02","11,344.64","11,698.17","10,827.71",5.52B,0.25%,0.0025,,0.25
8-Jun,"11,350.01","12,637.67","12,638.08","11,287.56",5.31B,-10.19%,-0.1019,,-10.19
8-May,"12,638.32","12,818.34","13,136.69","12,442.59",4.53B,-1.42%,-0.0142,,-1.42
8-Apr,"12,820.13","12,266.64","13,010.00","12,266.47",5.05B,4.54%,0.0454,,4.54
8-Mar,"12,262.89","12,264.36","12,622.07","11,731.60",6.23B,-0.03%,-0.0003,,-0.03
8-Feb,"12,266.39","12,638.17","12,767.74","12,069.47",5.72B,-3.04%,-0.0304,,-3.04
8-Jan,"12,650.36","13,261.82","13,279.54","11,634.82",7.46B,-4.63%,-0.0463,,-4.63
7-Dec,"13,264.82","13,368.22","13,780.11","13,092.00",4.31B,-0.80%,-0.008,,-0.8
7-Nov,"13,371.72","13,924.16","13,924.16","12,724.09",5.98B,-4.01%,-0.0401,,-4.01
7-Oct,"13,930.01","13,895.71","14,198.10","13,407.49",5.01B,0.25%,0.0025,,0.25
7-Sep,"13,895.63","13,358.39","13,924.81","13,021.93",4.33B,4.03%,0.0403,,4.03
7-Aug,"13,357.74","13,211.09","13,695.82","12,517.94",6.20B,1.10%,0.011,,1.1
7-Jul,"13,211.99","13,409.60","14,021.95","13,199.79",5.51B,-1.47%,-0.0147,,-1.47
7-Jun,"13,408.62","13,628.69","13,692.00","13,251.53",5.22B,-1.61%,-0.0161,,-1.61
7-May,"13,627.64","13,062.75","13,673.07","13,041.30",4.99B,4.32%,0.0432,,4.32
7-Apr,"13,062.91","12,354.52","13,162.06","12,324.28",4.82B,5.74%,0.0574,,5.74
7-Mar,"12,354.35","12,265.59","12,511.05","11,939.61",5.63B,0.70%,0.007,,0.7
7-Feb,"12,268.63","12,617.20","12,795.93","12,086.06",4.35B,-2.80%,-0.028,,-2.8
7-Jan,"12,621.69","12,459.54","12,657.02","12,337.37",4.99B,1.27%,0.0127,,1.27
6-Dec,"12,463.15","12,220.97","12,529.88","12,089.98",4.34B,1.97%,0.0197,,1.97
6-Nov,"12,221.93","12,080.25","12,361.00","11,965.31",4.72B,1.17%,0.0117,,1.17
6-Oct,"12,080.73","11,678.99","12,167.02","11,653.06",5.54B,3.44%,0.0344,,3.44
6-Sep,"11,679.07","11,382.75","11,741.99","11,323.84",4.49B,2.62%,0.0262,,2.62
6-Aug,"11,381.15","11,184.80","11,407.08","11,042.64",4.62B,1.75%,0.0175,,1.75
6-Jul,"11,185.68","11,149.34","11,257.08","10,683.32",5.55B,0.32%,0.0032,,0.32
6-Jun,"11,150.22","11,169.03","11,285.82","10,698.85",6.92B,-0.16%,-0.0016,,-0.16
6-May,"11,168.31","11,367.78","11,670.19","11,030.47",7.30B,-1.75%,-0.0175,,-1.75
6-Apr,"11,367.14","11,113.00","11,417.66","11,039.12",5.58B,2.32%,0.0232,,2.32
6-Mar,"11,109.32","10,993.25","11,334.96","10,922.73",6.68B,1.05%,0.0105,,1.05
6-Feb,"10,993.41","10,862.14","11,159.18","10,737.67",5.76B,1.18%,0.0118,,1.18
6-Jan,"10,864.86","10,718.30","11,047.76","10,661.15",6.43B,1.37%,0.0137,,1.37
5-Dec,"10,717.50","10,806.03","10,940.34","10,709.42",5.22B,-0.82%,-0.0082,,-0.82
5-Nov,"10,805.87","10,437.51","10,959.79","10,388.76",5.39B,3.50%,0.035,,3.5
5-Oct,"10,440.07","10,569.50","10,608.56","10,156.46",5.83B,-1.22%,-0.0122,,-1.22
5-Sep,"10,568.70","10,481.44","10,701.81","10,350.96",5.22B,0.83%,0.0083,,0.83
5-Aug,"10,481.60","10,641.78","10,719.41","10,349.37",5.08B,-1.50%,-0.015,,-1.5
5-Jul,"10,640.91","10,273.59","10,717.73","10,175.40",4.82B,3.56%,0.0356,,3.56
5-Jun,"10,274.97","10,462.86","10,656.29","10,253.49",5.03B,-1.84%,-0.0184,,-1.84
5-May,"10,467.48","10,192.00","10,560.81","10,075.55",4.84B,2.70%,0.027,,2.7
